"","ID_JF","N","TL.mean","TL.med","bio","long","lat","Temp","Alt","Area","Brealm"
"1","AFHS24792",1000,3.177449998038,3.12,0.138917,-10.9,15,29.6,140,97,"Afrotropical"
"2","AFHS28449",1000,3.178699997855,3.11,0.106393,-13.5,13.3,28,9,135,"Afrotropical"
"3","AFHS28841",1000,3.208909998478,3.14,0.179499,16.6,11,27.9,22,62,"Afrotropical"
"4","AFHS34726",1000,3.04623,2.92,0.09573,-14.1,11.3,26.3,58,147,"Afrotropical"
"5","AFHS39731",1000,3.205809998518,3.25,0.173222,3.9,7.6,26.8,101,91,"Afrotropical"
"6","AFHS39933",1000,3.195729998157,3.18,0.132665,2.4,8.4,26.9,93,111,"Afrotropical"
"7","AFHS40106",1000,3.206009997783,3.18,0.094149,1.3,8,26.6,128,50,"Afrotropical"
"8","AFHS40877",1000,3.187779998898,3.16,0.18201,-1.4,10.5,27.6,130,96,"Afrotropical"
"9","AFHS41919",1000,3.123569995554,3.16,0.101645,-4.3,5.9,26.4,31,144,"Afrotropical"
"10","AFHS42117",1000,3.19555999829,3.18,0.125816,-4,8.5,26.1,99,141,"Afrotropical"
"11","AFHS42296",1000,3.103989996086,3.16,0.119047,-2.7,6.3,25.7,64,156,"Afrotropical"
"12","AFHS42321",1000,3.09528999722,3.04,0.094565,-5.4,8,25.7,111,6,"Afrotropical"
"13","AFHS42682",1000,3.07448999715,2.985,0.135471,-1.4,6.2,26.2,57,54,"Afrotropical"
"14","AFHS42801",1000,3.160529994718,3.05,0.106179,-7.1,7.4,25.5,134,132,"Afrotropical"
"15","AFHS43174",1000,3.162809998176,3.18,0.265167,8.6,6.2,27.6,23,107,"Afrotropical"
"16","AFHS44377",1000,3.196269998927,3.25,0.146077,7.3,5.2,27.7,68,143,"Afrotropical"
"17","AFHS45465",1000,3.159699999344,3.13,0.272803,3.5,13.8,28.6,42,53,"Afrotropical"
"18","AFHS54029",1000,3.338315001544,3.27,0.878033,22.9,-2.5,24.9,59,88,"Afrotropical"
"19","AFHS57499",1000,3.16580000171,3.26,0.180906,36.9,-12.1,23.1,30,38,"Afrotropical"
"20","AFHS69784",1000,3.431560000102,3.4,0.804834,27.7,-14.9,20.3,1,77,"Afrotropical"
"21","AFHS72030",1000,3.145490002394,3.2,0.13529,31.8,-20.2,20.9,32,14,"Afrotropical"
"23","AFHS76969",1000,3.22122000114,3.2,0.191924,31.6,-25.3,22.3,44,106,"Afrotropical"
"24","AFHS77516",1000,3.174380001767,3.2,0.205702,31.2,-26.9,21.2,41,81,"Afrotropical"
"25","AFHS78611",1000,3.111850002052,3.2,0.311803,22.6,-27.3,19.1,78,154,"Afrotropical"
"27","AUHS13338",1000,3.33217,3.33,0.334785,131.8,-14.5,27.3,88,114,"Australian"
"28","AUHS40966",1000,3.21827,3.3,0.165919,146.5,-21,24,136,28,"Australian"
"29","AUHS73941",1000,3.23949999848,3.25,0.262448,147.2,-31.4,18.8,32,8,"Australian"
"30","CAHS10622",1000,3.249290002773,3.26,0.509042,-103.7,30.5,16.5,77,149,"Nearctic"
"31","CAHS28863",1000,3.125530003325,3.22,0.710113,-99.3,21.6,23.4,63,159,"Neotropical"
"32","CAHS46660",1000,3.16126000266,3.245,0.578998,-91.7,16.6,21.8,53,138,"Neotropical"
"33","EAJF112555",1000,3.29949999879,3.27,0.474441,115.9,0.4,26.8,8,158,"Oriental"
"34","EAJF127578",1000,3.305879995852,3.26,0.511636,113.5,2.1,22.5,47,110,"Oriental"
"35","EAJF135491",1000,3.352080002797,3.3,0.396979,114.8,3.5,26.3,47,42,"Oriental"
"36","EAJF169633",1000,3.330579992926,3.3,0.276154,76.6,9.6,27.6,12,21,"Oriental"
"37","EAJF187759",1000,3.225179999201,3.25,0.257954,107.3,11.5,26.4,29,102,"Oriental"
"38","EAJF212938",1000,3.082090006497,3.17,0.261736,99.1,14.7,24.2,11,71,"Oriental"
"39","EAJF221980",1000,3.31932999924,3.269999981,0.508447,76.5,16.5,26.1,146,69,"Oriental"
"40","EAJF225969",1000,3.139489994076,3.22,0.426836,100,17.2,28,16,44,"Oriental"
"41","EAJF230905",1000,3.239679997941,3.269999981,0.64932,102.6,18.8,26.2,112,136,"Oriental"
"42","EAJF273587",1000,3.272500009918,3.22,0.18457,121.5,24.9,23.1,75,74,"Oriental"
"43","EAJF276415",1000,3.124580006553,3.2,0.639623,98,19.9,23.7,117,70,"Oriental"
"44","EAJF286913",1000,3.319719999229,3.269999981,0.664553,85.2,27.1,22.1,132,3,"Oriental"
"45","EAJF300093",1000,3.443150003512,3.5,0.787588,107.7,30.4,16.5,121,45,"Palearctic"
"46","EAJF404178",1000,3.34803000156,3.279999971,0.083839,-0.9,41.9,14.1,50,142,"Palearctic"
"47","EAJF414843",1000,3.318130002467,3.22,0.030511,2.4,43.1,13.4,55,150,"Palearctic"
"48","EAJF418671",1000,3.33925000183,3.24,0.01462,-0.5,43.4,10.3,83,39,"Palearctic"
"49","EAJF419298",1000,3.370270001049,3.26,0.023409,6.3,43.5,12.5,14,94,"Palearctic"
"50","EAJF420040",1000,3.441979997496,3.27,0.021213,3,43.6,11.4,115,22,"Palearctic"
"51","EAJF421856",1000,3.315239996493,3.26,0.057726,3.5,43.8,12.1,115,63,"Palearctic"
"52","EAJF423672",1000,3.292740000421,3.26,0.029574,1.5,44,12.7,65,112,"Palearctic"
"53","EAJF434188",1000,3.273779999799,3.26,0.016366,1.3,45.2,11.7,13,58,"Palearctic"
"54","EAJF43491",1000,3.35487,3.34,0.708164,141.9,-6.4,26.6,51,139,"Australian"
"55","EAJF435390",1000,3.322560002235,3.27,0.171796,9.1,45.3,12.3,67,134,"Palearctic"
"56","EAJF440917",1000,3.350959999505,3.27,0.063458,5.7,45.7,9.8,69,2,"Palearctic"
"57","EAJF441536",1000,3.293879996965,3.24,0.013217,-0.1,45.8,12.8,70,1,"Palearctic"
"58","EAJF446340",1000,3.364190002905,3.2749999855,0.20361,20.3,46.4,10.9,56,140,"Palearctic"
"59","EAJF450677",1000,3.350540002508,3.27,0.019215,1.6,46.9,11.4,5,15,"Palearctic"
"60","EAJF455183",1000,3.319599997032,3.26,0.013001,-1.9,47.9,11.7,7,5,"Palearctic"
"61","EAJF457091",1000,3.336730002385,3.25,0.020124,3.3,48.7,10.4,109,131,"Palearctic"
"62","EAJF458997",1000,3.303910002326,3.22,0.041836,8.2,49.2,10,54,51,"Palearctic"
"63","EAJF461125",1000,3.357299998656,3.27,0.014658,2.5,49.9,9.7,27,118,"Palearctic"
"64","EAJF462623",1000,3.38732000152,3.27,0.019776,5.4,50.4,8.7,124,87,"Palearctic"
"65","EAJF466057",1000,3.39365000256,3.27,0.022941,13.1,51.2,9.3,24,30,"Palearctic"
"66","EAJF469215",1000,3.408040006576,3.27,0.01319,-0.8,51.6,9.3,36,11,"Palearctic"
"67","EAJF471063",1000,3.322479999293,3.27,0.068607,21.5,51.7,7.9,26,46,"Palearctic"
"68","EAJF471873",1000,3.390260003544,3.27,0.042079,16.9,51.8,8.3,147,17,"Palearctic"
"69","EAJF473143",1000,3.343280005424,3.22,0.012066,9.6,52,7.4,118,103,"Palearctic"
"70","EAJF475339",1000,3.366620006485,3.27,0.012632,0.1,52.3,10,137,146,"Palearctic"
"71","EAJF480215",1000,3.361170004602,3.27,0.012647,-1.4,53,9.2,116,13,"Palearctic"
"72","NAJF11945",1000,3.284690003325,3.29,0.066917,-103.8,56.3,-2.6,141,153,"Nearctic"
"73","NAJF120990",1000,3.276309998205,3.36,0.100783,-122.4,52.4,2.8,60,56,"Nearctic"
"74","NAJF130611",1000,3.162830002128,3.21,0.023553,-71.9,49.7,-0.1,148,145,"Nearctic"
"75","NAJF144070",1000,3.302050000923,3.279999971,0.168765,-81.8,45.5,6.3,149,20,"Nearctic"
"76","NAJF146898",1000,3.289700003271,3.29,0.186625,-117.2,46.3,9.3,71,130,"Nearctic"
"77","NAJF152530",1000,3.323059999043,3.29,0.030459,-67.8,46.6,3.7,94,115,"Nearctic"
"78","NAJF156254",1000,3.357600002054,3.29,0.026177,-68.9,45.6,9.3,102,48,"Nearctic"
"79","NAJF160689",1000,3.360150002413,3.29,0.026672,-70.2,44.9,3.8,125,32,"Nearctic"
"80","NAJF163258",1000,3.344119999682,3.31,0.026301,-71.6,43.2,7.5,95,19,"Nearctic"
"81","NAJF164632",1000,3.450970002867,3.41,0.018868,-71,41.9,10.4,108,85,"Nearctic"
"82","NAJF165363",1000,3.451490006972,3.37,0.392418,-122.6,41.8,8.6,37,95,"Nearctic"
"83","NAJF166046",1000,3.304230002022,3.279999971,0.058934,-72.3,43.3,5.6,140,75,"Nearctic"
"84","NAJF166494",1000,3.345900004186,3.3,0.031619,-73.3,41.8,8.6,79,108,"Nearctic"
"85","NAJF168097",1000,3.272690001969,3.29,0.064572,-74.1,42.7,8.2,126,102,"Nearctic"
"86","NAJF169404",1000,3.426190005384,3.36,0.07137,-117.1,40.4,6.6,39,101,"Nearctic"
"87","NAJF169498",1000,3.308860003962,3.279999971,0.040343,-75.2,40.9,10.5,120,83,"Nearctic"
"88","NAJF169707",1000,3.232480000982,3.22,0.083929,-76.9,41.3,9.9,138,129,"Nearctic"
"89","NAJF171807",1000,3.321610002684,3.27,0.063302,-78.4,39.2,12.3,150,90,"Nearctic"
"90","NAJF174847",1000,3.28304000532,3.24,0.079534,-77.9,38.4,12.9,6,128,"Nearctic"
"91","NAJF175185",1000,3.397340002579,3.36,0.139595,-121,38.9,16.7,52,76,"Nearctic"
"92","NAJF177139",1000,3.317820002489,3.3,0.050736,-77.7,37.9,13.5,104,127,"Nearctic"
"93","NAJF177908",1000,3.24818000098,3.24,0.104271,-79,37.8,12.8,143,57,"Nearctic"
"94","NAJF180854",1000,3.253870000948,3.24,0.127488,-79.1,36.7,14,114,64,"Nearctic"
"95","NAJF181559",1000,3.241679999973,3.24,0.077944,-77.9,36,15.6,45,113,"Nearctic"
"96","NAJF182625",1000,3.234019999487,3.22,0.10073,-78.1,35.6,15.2,84,27,"Nearctic"
"97","NAJF184372",1000,3.246080000335,3.26,0.093262,-78.8,35.3,16,61,55,"Nearctic"
"98","NAJF185224",1000,3.390870005035,3.33,0.07976,-118.3,34.2,15.7,119,36,"Nearctic"
"99","NAJF185617",1000,3.250450001057,3.245,0.106718,-79.9,34.9,16.3,139,73,"Nearctic"
"100","NAJF185907",1000,3.231910002365,3.24,0.136505,-81.4,34.8,16.3,34,92,"Nearctic"
"101","NAJF186574",1000,3.268980001587,3.279999971,0.049002,-81,33.4,17.5,46,137,"Nearctic"
"102","NAJF187435",1000,3.309010000201,3.279999971,0.113732,-82.4,33.8,15.9,19,72,"Nearctic"
"103","NAJF187550",1000,3.271110002809,3.25,0.358505,-110.6,36.7,11.1,81,122,"Nearctic"
"104","NAJF187602",1000,3.27762999913,3.279999971,0.06409,-82.1,32.7,18,145,24,"Nearctic"
"105","NAJF187893",1000,3.315090003394,3.29,0.070634,-83.2,32.8,17.7,76,89,"Nearctic"
"106","NAJF188115",1000,3.279380001545,3.33,0.033068,-82.4,31.4,19.2,108,152,"Nearctic"
"107","NAJF188198",1000,3.242969999749,3.26,0.2764,-86.9,33.2,16.6,135,25,"Nearctic"
"108","NAJF188256",1000,3.327230001666,3.29,0.034024,-82,30.5,20.9,96,68,"Nearctic"
"109","NAJF188446",1000,3.309540000101,3.29,0.098629,-86.7,31.5,18.2,10,12,"Nearctic"
"110","NAJF188683",1000,3.377840001853,3.35,0.069864,-87.6,30.7,19.7,142,80,"Nearctic"
"111","NAJF188945",1000,3.25989000209,3.33,0.084821,-89,31.6,18.1,38,59,"Nearctic"
"112","NAJF189234",1000,3.211870002624,3.23,0.048363,-81.6,29.1,21.5,106,52,"Nearctic"
"113","NAJF190495",1000,3.254160000475,3.29,0.13613,-89.8,31.9,17.6,33,49,"Nearctic"
"114","NAJF191407",1000,3.406310001518,3.3,0.060546,-84.3,30.7,19.6,123,35,"Nearctic"
"115","NAJF192181",1000,3.279740001805,3.27,0.079272,-96.5,32.3,18.7,49,105,"Nearctic"
"116","NAJF192182",1000,3.32048000247,3.35,0.072612,-93.1,30.6,20.1,106,151,"Nearctic"
"117","NAJF192610",1000,3.334860002646,3.31,0.125029,-84.7,32.2,18.2,110,109,"Nearctic"
"118","NAJF193002",1000,3.238440002394,3.26,0.078911,-94.6,31.5,18.4,28,66,"Nearctic"
"119","NAJF195357",1000,3.285000001013,3.279999971,0.265718,-96.6,40.7,11.1,92,82,"Nearctic"
"120","NAJF195640",1000,3.306270000985,3.29,0.057726,-83,30.7,19.8,131,61,"Nearctic"
"121","NAJF196784",1000,3.288359998637,3.29,0.03273,-82.7,29.3,20.7,91,34,"Nearctic"
"122","NAJF197535",1000,3.218079998579,3.29,0.038839,-82.1,28.7,21.6,82,78,"Nearctic"
"123","NAJF197681",1000,3.455350003515,3.41,0.085014,-98.9,32.3,17.7,25,16,"Nearctic"
"124","NAJF198020",1000,3.26844000323,3.34,0.048093,-96.8,29.3,20.9,100,117,"Nearctic"
"125","NAJF198325",1000,3.3185500038,3.26,0.099701,-100.4,31.6,18.2,20,4,"Nearctic"
"126","NAJF198911",1000,3.310470000919,3.33,0.1167,-98.1,29.5,19.5,105,33,"Nearctic"
"127","NAJF200409",1000,3.257919998724,3.2699999855,0.037028,-82.3,28.2,22.4,86,40,"Nearctic"
"128","NAJF200682",1000,3.305840001753,3.33,0.085739,-99.2,28.8,21.4,133,100,"Nearctic"
"129","NAJF200749",1000,3.189109999188,3.21,0.032031,-82.1,27.9,22.5,74,148,"Nearctic"
"130","NAJF201161",1000,3.256580003541,3.279999971,0.036717,-82.3,27.7,22.5,86,116,"Nearctic"
"131","NAJF201607",1000,3.133570006726,3.24,0.031925,-82.3,27.5,22.6,82,84,"Nearctic"
"132","NAJF202703",1000,3.16921,3.18,0.033502,-82.2,27.2,22.6,62,119,"Nearctic"
"133","NAJF202816",1000,3.152350002133,3.22,0.032919,-81.8,27.5,22.6,127,86,"Nearctic"
"134","NAJF29797",1000,3.286750001966,3.279999971,0.117971,-101.8,51.4,1.4,72,7,"Nearctic"
"135","NAJF380861",1000,3.360160002384,3.35,0.064718,-119.2,60.8,-4.4,66,43,"Nearctic"
"136","NAJF45529",1000,3.318230001616,3.29,0.067957,-91,53.9,-2.6,90,6,"Nearctic"
"137","NAJF55803",1000,3.31140000304,3.29,0.069014,-87.9,53.5,-1.8,80,41,"Nearctic"
"138","NAJF89454",1000,3.29630000203,3.27,0.056535,-86.7,50.8,-0.7,98,23,"Nearctic"
"139","NAJF96474",1000,3.286100001041,3.29,0.052719,-81.9,49.3,0.6,97,10,"Nearctic"
"140","SAHS12788",1000,3.367630000111,3.28,0.482313,-67.9,5.7,27.7,85,155,"Neotropical"
"141","SAHS14010",1000,3.198730001968,3.22,0.341783,-76.8,6.6,31.1,73,29,"Neotropical"
"142","SAHS15147",1000,3.367500000553,3.309999943,0.155455,-58.4,5.6,26.3,144,126,"Neotropical"
"143","SAHS15508",1000,3.358219999332,3.26,0.32704,-60.3,6.2,25.2,15,31,"Neotropical"
"144","SAHS16359",1000,3.272670004192,3.25,0.209484,-55.4,4.4,26.2,35,37,"Neotropical"
"145","SAHS16458",1000,3.374000003307,3.31,0.226312,-57.3,3.2,26.9,122,125,"Neotropical"
"146","SAHS16540",1000,3.430919998614,3.369999886,0.137017,-53.6,4.6,26.5,48,18,"Neotropical"
"147","SAHS16680",1000,3.364880002201,3.2999999525,0.227358,-54.5,3.4,26,103,123,"Neotropical"
"148","SAHS16758",1000,3.464270002079,3.41,0.102248,-53.2,5.2,26.2,3,60,"Neotropical"
"149","SAHS16845",1000,3.363380003477,3.34,0.119884,-53.1,4.6,26.1,3,124,"Neotropical"
"150","SAHS16944",1000,3.404359996102,3.369999886,0.081289,-52.8,5.2,26.6,2,157,"Neotropical"
"151","SAHS17005",1000,3.347999995372,3.36,0.10454,-52.8,4.9,26.1,17,93,"Neotropical"
"152","SAHS17178",1000,3.473509997449,3.380000114,0.128919,-52.5,4.5,25.9,104,104,"Neotropical"
"153","SAHS17436",1000,3.464000005586,3.41,0.163025,-52.7,3.8,25.5,3,9,"Neotropical"
"154","SAHS17714",1000,3.417700000391,3.39,0.219738,-52.5,2.9,24.8,87,79,"Neotropical"
"155","SAHS25790",1000,3.33870000095,3.25,0.684462,-64.6,-6.7,26,107,120,"Neotropical"
"156","SAHS32054",1000,3.338189998311,3.24,0.560278,-49.5,-11.3,25.2,4,133,"Neotropical"
"157","SAHS39877",1000,3.165760001747,3.16,0.62569,-43.2,-13.5,25.4,18,121,"Neotropical"
"158","SAHS4509",1000,3.312110000171,3.2,0.537571,-74.7,6.4,27.9,89,67,"Neotropical"
"159","SAHS57719",1000,3.203050000828,3.2,0.596487,-56.6,-22.9,23.1,113,65,"Neotropical"
